"","year","lrf.m","lrf.sd","lrf.l","lff.m","lff.sd","lff.l","lcf.m","lcf.sd","lcf.l","stdi.m","stdi.sd","stdi.l","smdi.m","smdi.sd","smdi.l","tsdi.m","tsdi.sd","tsdi.l"
"year97",97,94.474449282319,3.03591392986411,50,9.0616721550384,0.294389635466848,50,4.49861165810541,1.2598881631998,50,-8.08164704415605,0.29213138052963,50,-0.0145684487309796,0.0659247022810028,50,-8.06723276947966,0.264927489987446,50
"year98",98,95.1434574370507,3.06745991623209,50,9.18374908452019,0.297628384067447,50,4.580728408417,1.28271007647303,50,-6.3554676680933,0.278144644406103,50,-0.0150450945758098,0.0687975312216008,50,-6.34038347790641,0.246957019780762,50
"year99",99,95.8297789461743,3.09794586536964,50,9.31222278684331,0.300995567518948,50,4.66470123857095,1.30605848747738,50,-4.60772740516741,0.288559430247595,50,-0.0155075159719792,0.0716982093297106,50,-4.59197212757098,0.256325960207401,50
"year100",100,96.7492827492912,3.1272743120931,50,9.45024335687131,0.304582062572771,50,4.74914533428423,1.32953858183199,50,-2.99595934111894,0.316856481454697,50,-0.0160852998747936,0.0753390535963596,50,-2.97942775010981,0.285563449211854,50
"year101",101,97.7746485578833,3.15496446232874,50,9.60540612066645,0.308682266032088,50,4.83062265333742,1.35217195528644,50,-1.83231426335531,0.343500064364014,50,-0.0170055083502911,0.0810688475915446,50,-1.8147220479534,0.312205098618806,50
"year102",102,98.8732022270267,3.18241561958057,50,9.77075274997912,0.313184050502831,50,4.91043828415037,1.37428876263148,50,-0.694995463310429,0.373571655817202,50,-0.0179133778918475,0.0868742595736515,50,-0.676340230430399,0.34252410300187,50
"year103",103,100.001087761473,3.21011388032238,50,9.94632533706525,0.317954590549464,50,4.98994327477653,1.39626248419174,50,0.442208877833098,0.406556577633093,50,-0.0188081084980303,0.0927181600731947,50,0.461927410674879,0.375918761992219,50
"year104",104,101.100126924756,3.23821934641069,50,10.1318128102831,0.322962757269737,50,5.06952105377918,1.41821654101573,50,1.58427472509474,0.442204060988025,50,-0.0196885390076483,0.098569338394162,50,1.60505508822319,0.412094338809499,50
"year105",105,102.20598423786,3.26687768142219,50,10.3236718537691,0.328126552800559,50,5.14923243867157,1.44017859860245,50,2.72705721329077,0.479893187600549,50,-0.0205293910691842,0.104238048553059,50,2.74886932388991,0.450424972532724,50
"year106",106,103.305566872835,3.29582677378416,50,10.4461820177285,0.331633842542389,50,5.22783390778642,1.46180307862638,50,3.72095037662083,0.511337229939861,50,-0.0207155014957141,0.105597800508937,50,3.7430680027441,0.483486639447765,50
"year107",107,103.644472701836,3.32375147303221,50,10.5366019924228,0.333644226427643,50,5.30564446111838,1.48317430729644,50,4.66530096957489,0.542563135479356,50,-0.0208759686898139,0.106824608344276,50,4.68769806413142,0.516211693086995,50
"year108",108,103.777596391557,3.35260805687655,50,10.6076901543219,0.33489358698522,50,5.38312087974701,1.5044188693739,50,5.58061036216432,0.573351644283191,50,-0.0210331496818696,0.108035677550632,50,5.60328661747702,0.548322587811758,50
"year109",109,103.412697897151,3.38219932375987,50,10.6639930600776,0.335851530780434,50,5.46045707454892,1.52559781465356,50,6.4645216707753,0.603326408001541,50,-0.02117851413886,0.109184894220064,50,6.48746587247212,0.57948192630012,50
"year110",110,102.700994849003,3.41335793243784,50,10.7074442106976,0.336740481940041,50,5.53774330355201,1.54674186654421,50,7.3206576918321,0.632470469305149,50,-0.0213185004534051,0.110305751107347,50,7.34386623568982,0.609679113947653,50
"year111",111,102.1536714766,3.44424039148156,50,10.7558267148916,0.338043267840714,50,5.61150573930355,1.56687532572451,50,7.79835157834284,0.642874479071605,50,-0.0214515530404776,0.111230233774931,50,7.82171627670756,0.620433787451221,50
"year112",112,101.581625726103,3.47304133813379,50,10.8037718532443,0.339729717715619,50,5.68172905677342,1.58597345315812,50,8.15622096584535,0.647429760327715,50,-0.0215832999880399,0.11211297196096,50,8.17971900618108,0.625152582491786,50
"year113",113,100.958101448194,3.4997088158431,50,10.8486635348085,0.341595904841518,50,5.74984680383451,1.60442541081135,50,8.48340052660241,0.650739379012904,50,-0.021716007286488,0.113001241583309,50,8.50703348121141,0.628600665589379,50
"year114",114,100.766520444509,3.52260597112808,50,10.89021450652,0.343532092666169,50,5.81657315961219,1.62244206129402,50,8.81366621691546,0.654172466404013,50,-0.0218638207154879,0.113970850606348,50,8.83745197534092,0.632162662355014,50
"year115",115,100.791770318531,3.54109975527827,50,10.928404909728,0.345491281593547,50,5.88217257914646,1.64011076241543,50,9.14573649952914,0.658224986255713,50,-0.0220166074422644,0.114967144262992,50,9.16967993469671,0.636381385657291,50
"year116",116,100.992470273561,3.55709685407642,50,10.974194689357,0.347617151351059,50,5.94903123873046,1.65811307373642,50,9.70933119844283,0.674969181864149,50,-0.0222635582312034,0.116675682696064,50,9.73360112015807,0.653575287941706,50
"year117",117,100.888057957305,3.57312529970139,50,11.0306930438745,0.350004581244368,50,6.01825948768123,1.6767817005872,50,10.4246444958773,0.700878839065137,50,-0.0225572805373349,0.118774491875874,50,10.4493362060824,0.680153419718364,50
"year118",118,100.291042421432,3.59110733112858,50,11.0923805418255,0.352588414664603,50,6.08879242596756,1.69583619927903,50,11.1177459022747,0.72718726881196,50,-0.022833963920375,0.120783575875299,50,11.1428417873147,0.707153978180542,50
"year119",119,99.4031167362953,3.61120878862501,50,11.1565153069021,0.355278113002386,50,6.15987229416673,1.71506313556424,50,11.7839609743404,0.753063092927568,50,-0.0231028812939161,0.122752340342307,50,11.8094554979117,0.733700552048824,50
"year120",120,98.3468516167137,3.632255594864,50,11.2221583625233,0.35801273014205,50,6.23126226045511,1.73438708761049,50,12.4335745666747,0.778437203995401,50,-0.0233684882213856,0.124704004585246,50,12.4594672703924,0.759710355264897,50
"year121",121,97.5352240924572,3.65121469951041,50,11.2880344931425,0.360743906644082,50,6.30315418497296,1.75385672597849,50,13.1231023520751,0.806038297078177,50,-0.0238937063838989,0.128411763783428,50,13.1496954001424,0.787648055772803,50
"year122",122,96.8121134071549,3.66654885605477,50,11.3530579790504,0.363442287578575,50,6.37591325027623,1.77357170376707,50,13.8726594628901,0.836081872668335,50,-0.0237699993876299,0.127739725476916,50,13.8992445860053,0.818823120986874,50
"year123",123,96.1223990495162,3.67871407678655,50,11.4181314488889,0.366113102959275,50,6.44936255488452,1.79348499238647,50,14.633560665078,0.867220717986372,50,-0.0236484760659317,0.127079244248606,50,14.6601389814157,0.851024898930324,50
"year124",124,95.4136580370772,3.68859556213039,50,11.483300450933,0.36877015589049,50,6.52332332921561,1.81354610089052,50,15.3953838970627,0.899032297349698,50,-0.0235272077705952,0.126419920242882,50,15.4219545317245,0.883837980588335,50
